Data Type,HTS Number,Description,2024,
FAS Value,2302,"BRAN, SHARPS AND OTHER RESIDUES (IN PELLETS OR NOT), DERIVED FROM THE SIFTING, MILLING OR OTHER WORKING OF CEREALS OR LEGUMINOUS PLANTS",148030418.00,
FAS Value,2303,"RESIDUES OF STARCH MANUFACTURE AND OTHER RESIDUES AND WASTE OF SUGAR MANUFACTURE, BREWING OR DISTILLING DREGS AND WASTE, WHETHER OR NOT IN PELLETS",3891307406.00,
FAS Value,2304,"SOYBEAN OILCAKE AND OTHER SOLID RESIDUES RESULTING FROM THE EXTRACTION OF SOY BEAN OIL, WHETHER OR NOT GROUND OR IN THE FORM OF PELLETS",5095039464.00,
FAS Value,2305,"PEANUT (GROUND-NUT) OILCAKE AND OTHER SOLID RESIDUES RESULTING FROM THE EXTRACTION OF PEANUT (GROUND-NUT) OIL, WHETHER OR NOT GROUND OR IN PELLETS",2217934.00,
FAS Value,2306,"OILCAKE AND OTHER SOLID RESIDUES (IN PELLETS OR NOT), RESULTING FROM THE EXTRACTION OF VEGETABLE FATS OR OILS (EXCEPT FROM SOYBEANS OR PEANUTS), NESOI",34295621.00,
FAS Value,2307,WINE LEES; ARGOL,2894427.00,
FAS Value,2308,"VEGETABLE MATERIALS AND WASTE, VEGETABLE RESIDUES AND BY-PRODUCTS (IN PELLETS OR NOT), USED IN ANIMAL FEEDING, NESOI",49224025.00,
FAS Value,2309,PREPARATIONS OF A KIND USED IN ANIMAL FEEDING,4200422891.00,
FAS Value,2401,"TOBACCO, UNMANUFACTURED (WHETHER OR NOT THRESHED OR SIMILARLY PROCESSED); TOBACCO REFUSE",1078186195.00,
FAS Value,2402,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES",275632933.00,
FAS Value,2403,"TOBACCO AND TOBACCO SUBSTITUTE MANUFACTURES, NESOI; HOMOGENIZED OR RECONSTITUTED TOBACCO; TOBACCO EXTRACTS AND ESSENCES",180858141.00,
FAS Value,2404,"PROD CONT TOBACCO, RECONST TOBACCO, TOBACCO / NICOTINE SUB, FOR INHALATION W/O COMBUST; NICOTINE-CONTAIN PROD FOR NICOTINE INTAKE INTO THE HUMAN BODY",83706673.00,
FAS Value,2501,"SALT (INCL TABLE & DENATURD SALT) & PURE SODIUM CHLORIDE,  WHETH/NOT IN AQUEOUS SOLUTION OR CONTAIN ADDED ANTICAKING/FREE FLOWING AGENTS; SEA WATER",244244247.00,
FAS Value,2502,UNROASTED IRON PYRITES,1757599.00,
FAS Value,2503,"SULFUR OF ALL KINDS, OTHER THAN SUBLIMED SULFUR, PRECIPITATED SULFUR AND COLLOIDAL SULFUR",195047208.00,
FAS Value,2504,NATURAL GRAPHITE,22379210.00,
FAS Value,2505,"NATURAL SANDS OF ALL KINDS, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26",908407564.00,
FAS Value,2506,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF A RECTANGULAR OR SQUARE SHAPE",93194031.00,
FAS Value,2507,"KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER OR NOT CALCINED",590030334.00,
FAS Value,2508,"CLAYS NESOI (NOT INCLUDING EXPANDED CLAYS OF HEADING 6806), ANDALUSITE, KYANITE AND SILLIMANITE (CALCINED OR NOT); MULLITE; CHAMOTTE OR DINAS EARTHS",404058256.00,
FAS Value,2509,CHALK,1170090.00,
FAS Value,2510,"NATURAL CALCIUM PHOSPHATES, NATURAL ALUMINUM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK",1847399.00,
FAS Value,2511,"NATURAL BARIUM SULFATE (BARYTES); NATURAL BARIUM CARBONATE (WITHERITE), WHETHER OR NOT CALCINED (OTHER THAN BARIUM OXIDE OF HEADING 2816)",12356665.00,
FAS Value,2512,"SILICEOUS FOSSIL MEALS (INCLUDING KIESELGUHR, TRIPOLITE AND DIATOMITE) AND SIMILAR SILICEOUS EARTHS, OF AN APPARENT SPECIFIC GRAVITY OF 1 OR LESS",60321722.00,
FAS Value,2513,"PUMICE; EMERY; NATURAL CORUNDUM, NATURAL GARNET AND OTHER NATURAL ABRASIVES, WHETHER OR NOT HEAT-TREATED",24092190.00,
FAS Value,2514,"SLATE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING ETC. INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE",866420.00,
FAS Value,2515,"MARBLE, TRAVERTINE AND OTHER CALCAREOUS BUILDING ETC. STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5 OR MORE, AND ALABASTER ROUGHLY SHAPED ETC. OR CUT",14253641.00,
FAS Value,2516,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER BUILDING ETC. STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT BY SAWING ETC.",23941989.00,
FAS Value,2517,"PEBBLES, GRAVEL ETC. USED FOR CONCRETE AGGREGATES ETC.; MACADAM OF SLAG, DROSS ETC.; GRANULES, CHIPPINGS AND POWDER OF MARBLE, ALABASTER, GRANITE ETC.",49079952.00,
FAS Value,2518,"DOLOMITE, WHETHER OR NOT CALCINED; DOLOMITE ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE; DOLOMITE RAMMING MIX",14929221.00,
FAS Value,2519,"NATURAL MAGNESIUM CARBONATE; FUSED MAGNESIA; DEAD-BURNED (SINTERED) MAGNESIA; OTHER MAGNESIUM OXIDE, WHETHER OR NOT PURE",38706756.00,
FAS Value,2520,GYPSUM; ANHYDRITE; PLASTERS (CONSISTING OF CALCINED GYPSUM OR CALCINED SULFATE),63072853.00,
FAS Value,2521,"LIMESTONE FLUX; LIMESTONE AND OTHER CALCAREOUS STONE, OF A KIND USED FOR THE MANUFACTURE OF LIME OR CEMENT (OR FOR SOIL IMPROVEMENT)",12543405.00,
FAS Value,2522,"QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 2825",50993147.00,
FAS Value,2523,"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULFATE CEMENT AND SIMILAR HYDRAULIC CEMENTS",193261060.00,
FAS Value,2524,ASBESTOS,49450.00,
FAS Value,2525,"MICA, INCLUDING SPLITTINGS; MICA WASTE",8877060.00,
FAS Value,2526,"NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE; TALC",109477384.00,
FAS Value,2528,"NATURAL BORATES AND CONCENTRATES THEREOF (NOT BORATES SEPARATED FROM NATURAL BRINE); NATURAL BORIC ACID WITH NOT OVER 85% H3B03, BASED ON DRY WEIGHT",2995171.00,
FAS Value,2529,FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR,11006858.00,
FAS Value,2530,MINERAL SUBSTANCES NESOI,138960483.00,
FAS Value,2601,"IRON ORES AND CONCENTRATES, INCLUDING ROASTED IRON PYRITES",1060307263.00,
FAS Value,2602,"MANGANESE ORES AND CONCENTRATES, INCLUDING FERRUGINOUS MANGANESE ORES AND CONCENTRATES WITH A MANGANESE CONTENT OF 20% OR MORE, BASED ON DRY WEIGHT",1448337.00,
FAS Value,2603,COPPER ORES AND CONCENTRATES,2810621782.00,
FAS Value,2604,NICKEL ORES AND CONCENTRATES,138239179.00,
FAS Value,2605,COBALT ORES AND CONCENTRATES,31752.00,
FAS Value,2606,ALUMINUM ORES AND CONCENTRATES,8212527.00,
FAS Value,2607,LEAD ORES AND CONCENTRATES,897297587.00,
FAS Value,2608,ZINC ORES AND CONCENTRATES,1382628005.00,
FAS Value,2609,TIN ORES AND CONCENTRATES,7733501.00,
FAS Value,2610,CHROMIUM ORES AND CONCENTRATES,5169226.00,
FAS Value,2611,TUNGSTEN ORES AND CONCENTRATES,5160867.00,
FAS Value,2613,MOLYBDENUM ORES AND CONCENTRATES,1262738887.00,
FAS Value,2614,TITANIUM ORES AND CONCENTRATES,16767408.00,
FAS Value,2615,"NIOBIUM, TANTALUM, VANADIUM OR ZIRCONIUM ORES AND CONCENTRATES",61338806.00,
FAS Value,2616,PRECIOUS METAL ORES AND CONCENTRATES,365582881.00,
FAS Value,2617,ORES AND CONCENTRATES NESOI,101957319.00,
FAS Value,2618,GRANULATED SLAG (SLAG SAND) FROM IRON OR STEEL MANUFACTURE,7656743.00,
FAS Value,2619,"SLAG, DROSS (OTHER THAN GRANULATED SLAG), SCALINGS AND OTHER WASTE FROM THE MANUFACTURE OF IRON OR STEEL",9943051.00,
FAS Value,2620,"ASH AND RESIDUES (EXCEPT FROM IRON OR STEEL MANUFACTURE) CONTAINING ARSENIC, METALS OR THEIR COMPOUNDS",242047292.00,
FAS Value,2621,"ASH AND SLAG NESOI, INCLUDING SEAWEED ASH (KELP); ASH AND RESIDUES FROM THE INCINERATION OF MUNICIPAL WASTE",23819152.00,
FAS Value,2701,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL",14215235275.00,
FAS Value,2702,"LIGNITE, WHETHER OR NOT AGGLOMERATED, EXCLUDING JET",6314639.00,
FAS Value,2703,PEAT (INCLUDING PEAT LITTER) WHETHER OR NOT AGGLOMERATED,28843185.00,
FAS Value,2704,"COKE AND SEMICOKE OF COAL, OF LIGNITE OR OF PEAT, WHETHER OR NOT AGGLOMERATED; RETORT CARBON",512032630.00,
FAS Value,2705,"COAL GAS, WATER GAS, PRODUCER GAS AND SIMILAR GASES, EXCEPT PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS",335241.00,
FAS Value,2706,"MINERAL TARS, INCLUDING RECONSTITUTED TARS",78656197.00,
FAS Value,2707,OILS AND OTHER PRODUCTS OF THE DISTILLATION OF HIGH TEMPERATURE COAL TAR; SIMILAR PRODUCTS IN WHICH THE WEIGHT OF AROMATIC CONSTITUENTS PREDOMINATE,929184833.00,
FAS Value,2708,"PITCH AND PITCH COKE, OBTAINED FROM COAL TAR OR FROM OTHER MINERAL TARS",22917909.00,
FAS Value,2709,"PETROLEUM OILS AND OILS FROM BITUMINOUS MINERALS, CRUDE",118499361483.00,
FAS Value,2710,"PETROLEUM OILS& OILS FROM BITUMINOUS MINS (OTHER THAN CRUDE)& PRODUCTS THEREFROM, NESOI, CONTAINING 70% (BY WEIGHT) OR MORE OF THESE OILS; WASTE OILS",117537978921.00,
FAS Value,2711,PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS,62174578609.00,
FAS Value,2712,"PETROLEUM JELLY; PARAFFIN WAX, MICROCRYSTALLINE PETROLEUM WAX, SLACK WAX, OTHER MINERAL WAXES, AND SIMILAR PRODUCTS",383159333.00,
FAS Value,2713,"PETROLEUM COKE, PETROLEUM BITUMEN AND RESIDUES OF PETROLEUM OILS OR OF OILS OBTAINED FROM BITUMINOUS MINERALS",4734683162.00,
FAS Value,2714,"BITUMEN AND ASPHALT, NATURAL; BITUMINOUS OR OIL SHALE AND TAR SANDS; ASPHALTITES AND ASPHALTIC ROCKS",86218584.00,
FAS Value,2715,"BITUMINOUS MIXTURES BASED ON NATURAL ASPHALT, NATURAL BITUMEN, PETROLEUM BITUMEN, MINERAL TAR OR MINERAL TAR PITCH",85224921.00,
FAS Value,2716,ELECTRICAL ENERGY,843959692.00,
FAS Value,2801,"FLUORINE, CHLORINE, BROMINE AND IODINE",106294330.00,
FAS Value,2802,"SULFUR, SUBLIMED OR PRECIPITATED; COLLODIAL SULFUR",2258022.00,
FAS Value,2803,"CARBON, NESOI (INCLUDING CARBON BLACK)",377583966.00,
FAS Value,2804,"HYDROGEN, RARE GASES AND OTHER NONMETALS",1809319994.00,
FAS Value,2805,"ALKALI OR ALKALINE-EARTH METALS; RARE-EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOT INTERMIXED OR INTERALLOYED; MERCURY",65677491.00,
FAS Value,2806,HYDROGEN CHLORIDE (HYDROCHLORIC ACID); CHLOROSULFURIC ACID,27802169.00,
FAS Value,2807,SULFURIC ACID; OLEUM,33291747.00,
FAS Value,2808,"NITRIC ACID, SULFONITRIC ACIDS",14955504.00,
FAS Value,2809,DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS,285260647.00,
FAS Value,2810,OXIDES OF BORON; BORIC ACIDS,200292814.00,
FAS Value,2811,INORGANIC ACIDS NESOI AND INORGANIC OXYGEN COMPOUNDS OF NONMETALS NESOI,425129082.00,
FAS Value,2812,HALIDES AND HALIDE OXIDES OF NONMETALS,129807170.00,
FAS Value,2813,SULFIDES OF NONMETALS; COMMERCIAL PHOSPHORUS TRISULFIDE,24846115.00,
FAS Value,2814,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION",334806379.00,
FAS Value,2815,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM,1307243595.00,
FAS Value,2816,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES OF STRONTIUM OR BARIUM",18664700.00,
FAS Value,2817,ZINC OXIDE AND ZINC PEROXIDE,121261223.00,
FAS Value,2818,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINUM OXIDE; ALUMINUM HYDROXIDE",567379503.00,
FAS Value,2820,MANGANESE OXIDES,21918094.00,
FAS Value,2821,IRON OXIDES AND HYDROXIDES; EARTH COLORS CONTAINING BY WEIGHT 70% OR MORE OF COMBINED IRON EVALUATED AS FE203,49543437.00,
FAS Value,2822,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES,1369571.00,
FAS Value,2823,TITANIUM OXIDES,38414755.00,
FAS Value,2824,LEAD OXIDES; RED LEAD AND ORANGE LEAD,6834435.00,
FAS Value,2825,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; INORGANIC BASES NESOI; METAL OXIDES, HYDROXIDES AND PEROXIDES NESOI",687234651.00,
FAS Value,2826,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS",142286860.00,
FAS Value,2827,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES",388727216.00,
FAS Value,2828,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITE; CHLORITES; HYPOBROMITES,56478675.00,
FAS Value,2829,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES,84483694.00,
FAS Value,2830,SULFIDES; POLYSULFIDES,66306532.00,
FAS Value,2831,DITHIONITES AND SULFOXYLATES,2052538.00,
FAS Value,2832,SULFITES; THIOSULFATES,77891234.00,
FAS Value,2833,SULFATES; ALUMS; PEROXOSULFATES (PERSULFATES),251313128.00,
FAS Value,2834,NITRITES; NITRATES,41439987.00,
FAS Value,2835,"PHOSPHINATES (HYPOPHOSPHITES), PHOSPHONATES (PHOSPHITES), PHOSPHATES AND POLYPHOSPHATES",301108161.00,
FAS Value,2836,CARBONATES; PEROXOCARBONATES (PERCARBONATES); COMMERCIAL AMMONIUM CARBONATE CONTAINING AMMONIUM CARBAMATE,1991705924.00,
FAS Value,2837,"CYANIDES, CYANIDE OXIDES AND COMPLEX CYANIDES",259852685.00,
FAS Value,2839,SILICATES; COMMERCIAL ALKALI METAL SILICATES,73142372.00,
FAS Value,2840,BORATES; PEROXOBORATES (PERBORATES),443339943.00,
FAS Value,2841,SALTS OF OXOMETALLIC OR PEROXOMETALLIC ACIDS,134167171.00,
FAS Value,2842,"SALTS OF INORGANIC ACIDS OR PEROXOACIDS, EXCLUDING AZIDES, NESOI",125928851.00,
FAS Value,2843,"COLLOIDAL PRECIOUS METALS; INORGANIC OR ORGANIC COMPOUNDS OF PRECIOUS METALS, CHEMICALLY DEFINED OR NOT; AMALGAMS OF PRECIOUS METALS",1076005938.00,
FAS Value,2844,RADIOACTIVE CHEMICAL ELEMENTS AND ISOTOPES AND THEIR COMPOUNDS; MIXTURES AND RESIDUES CONTAINING THESE PRODUCTS,1289115457.00,
FAS Value,2845,"STABLE (NONRADIOACTIVE) ISOTOPES; COMPOUNDS, INORGANIC OR ORGANIC, OF SUCH ISOTOPES, WHETHER OR NOT CHEMICALLY DEFINED",304046896.00,
FAS Value,2846,"RARE-EARTH METAL COMPOUNDS, INORGANIC OR ORGANIC, OF YTTRIUM OR SCANDIUM OR OF MIXTURES OF THESE METALS",259321793.00,
FAS Value,2847,"HYDROGEN PEROXIDE, WHETHER OR NOT SOLIDIFIED WITH UREA",40442288.00,
FAS Value,2849,"CARBIDES, WHETHER OR NOT CHEMICALLY DEFINED",77091252.00,
FAS Value,2850,"HYDRIDES, NITRIDES, AZIDES, SILICIDES AND BORIDES, WHETHER OR NOT CHEMICALLY DEFINED",215562170.00,
FAS Value,2852,"MERCURY COMPOUNDS, INORGANIC OR ORGANIC, WHETHER OR NOT CHEMICALLY DEFINED, EXCLUDING AMALGAMS",1087177.00,
FAS Value,2853,"INORGANIC COMPOUNDS NESOI; LIQUID AIR; COMPRESSED AIR; AMALGAMS, OTHER THAN OF PRECIOUS METALS",121375638.00,
FAS Value,2901,ACYCLIC HYDROCARBONS,9203226706.00,
FAS Value,2902,CYCLIC HYDROCARBONS,3200634837.00,
FAS Value,2903,HALOGENATED DERIVATIVES OF HYDROCARBONS,2171448901.00,
FAS Value,2904,"SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF HYDROCARBONS, WHETHER OR NOT HALOGENATED",114680898.00,
FAS Value,2905,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",4352865566.00,
FAS Value,2906,"CYCLIC ALCOHOLS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",168462467.00,
FAS Value,2907,PHENOLS; PHENOL-ALCOHOLS,449820816.00,
FAS Value,2908,"HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF PHENOLS OR PHENOL-ALCOHOLS",25832994.00,
FAS Value,2909,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ALCOHOL PEROXIDES, KETONE PEROXIDES ETC. AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",3976736699.00,
FAS Value,2910,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EPOXYETHERS WITH A THREE-MEMBERED RING, AND HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVE",418744849.00,
FAS Value,2911,"ACETALS AND HEMIACETALS, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",6172507.00,
FAS Value,2912,ALDEHYDES; CYCLIC POLYMERS OF ALDEHYDES; PARAFORMALDEHYDE,222337700.00,
FAS Value,2913,"HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF ALDEHYDE-FUNCTION COMPOUNDS",141699.00,
FAS Value,2914,"KETONES AND QUINONES, AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",370376513.00,
FAS Value,2915,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES",1900060527.00,
FAS Value,2916,"ACYCLIC (UNSATURATED) AND CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES",890945512.00,
FAS Value,2917,"POLYCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",761483800.00,
FAS Value,2918,"CARBOXYLIC ACIDS WITH ADDED OXYGEN FUNCTION AND THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED, NITRATED ETC. DERIVATIVES",410506397.00,
FAS Value,2919,"PHOSPHORIC ESTERS AND THEIR SALTS, INCLUDING LACTOPHOSPHATES; THEIR HALOGENATED, SULFONATED, NITRATED, OR NITROSATED DERIVATIVES",52359110.00,
FAS Value,2920,"ESTERS OF INORGANIC ACIDS OF NON-METALS  (EXCLUDING ESTERS OF HYDROGEN HALIDES) NESOI AND THEIR SALTS; THEIR HALOGENATED, SULFONATED, NITRATED ETC. DE",172831479.00,
FAS Value,2921,AMINE-FUNCTION COMPOUNDS,1301756000.00,
FAS Value,2922,OXYGEN-FUNCTION AMINO-COMPOUNDS,937831805.00,
FAS Value,2923,QUATERNARY AMMONIUM SALTS AND HYDROXIDES; LECITHINS AND OTHER PHOSPHOAMINOLIPIDS,355137329.00,
FAS Value,2924,CARBOXYAMIDE-FUNCTION COMPOUNDS; AMIDE-FUNCTION COMPOUNDS OF CARBONIC ACID,421312280.00,
FAS Value,2925,CARBOXYIMIDE-FUNCTION COMPOUNDS (INCLUDING SACCHARIN AND ITS SALTS) AND IMINE-FUNCTION COMPOUNDS,96350501.00,
FAS Value,2926,NITRILE-FUNCTION COMPOUNDS,423239610.00,
FAS Value,2927,"DIAZO-, AZO-, OR AZOXY-COMPOUNDS",12097810.00,
FAS Value,2928,ORGANIC DERIVATIVES OF HYDRAZINE OR HYDROXYLAMINE,63105768.00,
FAS Value,2929,NITROGEN FUNCTION COMPOUNDS NESOI,575097397.00,
FAS Value,2930,ORGANO-SULFUR COMPOUNDS,660508770.00,
FAS Value,2931,"ORGANO-INORGANIC COMPOUNDS, NESOI",1508736575.00,
FAS Value,2932,HETEROCYCLIC COMPOUNDS WITH OXYGEN HETERO-ATOM(S) ONLY,595936373.00,
FAS Value,2933,HETEROCYCLIC COMPOUNDS WITH NITROGEN HETERO-ATOM(S) ONLY,2303370656.00,
FAS Value,2934,"NUCLEIC ACIDS AND THEIR SALTS, OTHER HETEROCYCLIC COMPOUNDS",1386037303.00,
FAS Value,2935,SULFONAMIDES,207175192.00,
FAS Value,2936,"PROVITAMINS AND VITAMINS, NATURAL OR SYNTHETIC, DERIVATIVES THEREOF USED PRIMARILY AS VITAMINS, AND INTERMIXTURES OF THE FOREGOING",1038511699.00,
FAS Value,2937,"HORMONES, NATURAL OR SYNTHETIC; DERIVATIVES THEREOF AND OTHER STERIODS USED PRIMARILY AS HORMONES",9962943789.00,
FAS Value,2938,"GLYCOSIDES, NATURAL OR SYNTHETIC, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",44195438.00,
FAS Value,2939,"VEGETABLE ALKALOIDS, NATURAL OR SYNTHETIC, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",108927077.00,
FAS Value,2940,"SUGARS, CHEMICALLY PURE, OTHER THAN SUCROSE, LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE; SUGAR ETHERS AND SUGAR ESTERS, AND THEIR SALTS, NESOI",160272958.00,
FAS Value,2941,ANTIBIOTICS,736480732.00,
FAS Value,2942,ORGANIC COMPOUNDS NESOI,109729505.00,
FAS Value,3001,"GLANDS AND OTHER ORGANS, DRIED, AND THEIR EXTRACTS ETC. FOR THERAPEUTIC ETC. USE; HEPARIN AND SALTS; HUMAN ETC. SUBSTANCES FOR THERAPEUTICS ETC. NESOI",763507046.00,
FAS Value,3002,"HUMAN AND ANIMAL BLOOD, PREPARED; ANTISERA OTHER BLOOD FRCTNS IMMUNOLOGICAL PROD; VACCINES, TXNS, CULTURES OF MICRO-ORGANISMS (EXC YEASTS) & LIKE PROD",54586966262.00,
FAS Value,3003,"MEDICAMENTS (EXCEPT VACCINES ETC., BANDAGES OR PHARMACEUTICALS), CONSISTING OF MIXTURES FOR THERAPEUTIC ETC. USES, NOT IN DOSAGE OR RETAIL SALE FORM",1357906934.00,
FAS Value,3004,"MEDICAMENTS (EXCEPT VACCINES ETC., BANDAGES OR PHARMACEUTICALS), OF PRODUCTS (MIXED OR NOT) FOR THERAPEUTIC ETC. USES, IN DOSAGE OR RETAIL SALE FORM",33669352526.00,
FAS Value,3005,"BANDAGES AND SIMILAR ARTICLES, IMPREGNATED OR COATED WITH PHARMACEUTICALS OR PUT UP FOR RETAIL SALE FOR MEDICAL, SURGICAL, DENTAL OR VETERINARY USES",1291679183.00,
FAS Value,3006,PHARMACEUTICAL GOODS OF SPECIFIED IN NOTE 4 TO CHAPTER 30,2717501708.00,
FAS Value,3101,"ANIMAL OR VEGETABLE FERTILIZERS, INCLUDING MIXED OR CHEMICALLY TREATED; FERTILIZERS MADE BY MIXING OR CHEMICALLY TREATING ANIMAL OR VEGETABLE PRODUCTS",50446181.00,
FAS Value,3102,"MINERAL OR CHEMICAL FERTILIZERS, NITROGENOUS",1123626556.00,
FAS Value,3103,"MINERAL OR CHEMICAL FERTILIZERS, PHOSPHATIC",15588472.00,
FAS Value,3104,"MINERAL OR CHEMICAL FERTILIZERS, POTASSIC",1399995885.00,
FAS Value,3105,MINERAL OR CHEMICAL FERTILIZERS WITH TWO OF THE THREE FERTILIZER ELEMENTS; FERTILIZERS NESOI; FERTILIZERS IN PACKS ETC. NOT OVER 10 KG GROSS WEIGHT,2582657368.00,
FAS Value,3201,"TANNING EXTRACTS OF VEGETABLE ORIGIN; TANNINS AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",43835069.00,
FAS Value,3202,SYNTHETIC ORGANIC TANNING SUBSTANCES; INORGANIC TANNING SUBSTANCES; TANNING PREPARATIONS; ENZYMATIC PREPARATIONS FOR PRE-TANNING,12026511.00,
FAS Value,3203,COLORING MATTER OF VEGETABLE OR ANIMAL ORIGIN AND PREPARATIONS BASED THEREON,151203327.00,
FAS Value,3204,SYNTHETIC ORGANIC COLORING MATTER AND PREPARATIONS BASED THEREON; SYNTHETIC ORGANIC PRODUCTS USED AS FLUORESCENT BRIGHTENING AGENTS OR AS LUMINOPHORES,923437757.00,
FAS Value,3205,COLOR LAKES; PREPARATIONS BASED ON COLOR LAKES,36152381.00,
FAS Value,3206,COLORING MATTER NESOI; COLORING PREPARATIONS NESOI; INORGANIC PRODUCTS USED AS LUMINOPHORES,1683794883.00,
FAS Value,3207,"PREPARED PIGMENTS, OPACIFIERS AND COLORS, VITRIFIABLE ENAMELS ETC. USED IN THE CERAMIC, ENAMELING OR GLASS INDUSTRY; GLASS (FRIT OR OTHER) POWDER ETC.",228307125.00,
FAS Value,3208,PAINTS AND VARNISHES BASED ON SYNTHETIC POLYMERS OR CHEMICALLY MODIFIED NATURAL POLYMERS IN A NONAQUEOUS MEDIUM; SOLUTIONS BASED ON SPECIFIED POLYMERS,1670963189.00,
FAS Value,3209,PAINTS AND VARNISHES BASED ON SYNTHETIC POLYMERS OR CHEMICALLY MODIFIED NATURAL POLYMERS IN AN AQUEOUS MEDIUM,1093044493.00,
FAS Value,3210,"PAINTS AND VARNISHES (INCLUDING ENAMELS, LACQUERS AND DISTEMPERS); PREPARED WATER PIGMENTS OF A KIND USED FOR FINISHING LEATHER",68596166.00,
FAS Value,3211,PREPARED DRIERS,9630035.00,
FAS Value,3212,"PIGMENTS DISPERSED IN NONAQUEOUS MEDIA, IN LIQUID OR PASTE FORM, FOR PAINT MANUFACTURE; STAMPING FOILS; DYES AND OTHER COLORS PACKAGED FOR RETAIL SALE",215292228.00,
