"","Data.Type","HTS.Number","Description","X2024","parent"
"184","FAS Value",2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES",2938366682,22
"185","FAS Value",2209,"VINEGAR AND SUBSTITUTES FOR VINEGAR OBTAINED FROM ACETIC ACID",92279989,22
"186","FAS Value",2301,"FLOURS, MEALS AND PELLETS, OF MEAT OR MEAT OFFAL, OF FISH OR OF CRUSTACEANS ETC., UNFIT FOR HUMAN CONSUMPTION; GREAVES (CRACKLINGS)",1008009980,23
"187","FAS Value",2302,"BRAN, SHARPS AND OTHER RESIDUES (IN PELLETS OR NOT), DERIVED FROM THE SIFTING, MILLING OR OTHER WORKING OF CEREALS OR LEGUMINOUS PLANTS",148030418,23
"188","FAS Value",2303,"RESIDUES OF STARCH MANUFACTURE AND OTHER RESIDUES AND WASTE OF SUGAR MANUFACTURE, BREWING OR DISTILLING DREGS AND WASTE, WHETHER OR NOT IN PELLETS",3891307406,23
"189","FAS Value",2304,"SOYBEAN OILCAKE AND OTHER SOLID RESIDUES RESULTING FROM THE EXTRACTION OF SOY BEAN OIL, WHETHER OR NOT GROUND OR IN THE FORM OF PELLETS",5095039464,23
"190","FAS Value",2305,"PEANUT (GROUND-NUT) OILCAKE AND OTHER SOLID RESIDUES RESULTING FROM THE EXTRACTION OF PEANUT (GROUND-NUT) OIL, WHETHER OR NOT GROUND OR IN PELLETS",2217934,23
"191","FAS Value",2306,"OILCAKE AND OTHER SOLID RESIDUES (IN PELLETS OR NOT), RESULTING FROM THE EXTRACTION OF VEGETABLE FATS OR OILS (EXCEPT FROM SOYBEANS OR PEANUTS), NESOI",34295621,23
"192","FAS Value",2307,"WINE LEES; ARGOL",2894427,23
"193","FAS Value",2308,"VEGETABLE MATERIALS AND WASTE, VEGETABLE RESIDUES AND BY-PRODUCTS (IN PELLETS OR NOT), USED IN ANIMAL FEEDING, NESOI",49224025,23
"194","FAS Value",2309,"PREPARATIONS OF A KIND USED IN ANIMAL FEEDING",4200422891,23
"195","FAS Value",2401,"TOBACCO, UNMANUFACTURED (WHETHER OR NOT THRESHED OR SIMILARLY PROCESSED); TOBACCO REFUSE",1078186195,24
"196","FAS Value",2402,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES",275632933,24
"197","FAS Value",2403,"TOBACCO AND TOBACCO SUBSTITUTE MANUFACTURES, NESOI; HOMOGENIZED OR RECONSTITUTED TOBACCO; TOBACCO EXTRACTS AND ESSENCES",180858141,24
"198","FAS Value",2404,"PROD CONT TOBACCO, RECONST TOBACCO, TOBACCO / NICOTINE SUB, FOR INHALATION W/O COMBUST; NICOTINE-CONTAIN PROD FOR NICOTINE INTAKE INTO THE HUMAN BODY",83706673,24
"199","FAS Value",2501,"SALT (INCL TABLE & DENATURD SALT) & PURE SODIUM CHLORIDE,  WHETH/NOT IN AQUEOUS SOLUTION OR CONTAIN ADDED ANTICAKING/FREE FLOWING AGENTS; SEA WATER",244244247,25
"200","FAS Value",2502,"UNROASTED IRON PYRITES",1757599,25
"201","FAS Value",2503,"SULFUR OF ALL KINDS, OTHER THAN SUBLIMED SULFUR, PRECIPITATED SULFUR AND COLLOIDAL SULFUR",195047208,25
"202","FAS Value",2504,"NATURAL GRAPHITE",22379210,25
"203","FAS Value",2505,"NATURAL SANDS OF ALL KINDS, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26",908407564,25
"204","FAS Value",2506,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF A RECTANGULAR OR SQUARE SHAPE",93194031,25
"205","FAS Value",2507,"KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER OR NOT CALCINED",590030334,25
"206","FAS Value",2508,"CLAYS NESOI (NOT INCLUDING EXPANDED CLAYS OF HEADING 6806), ANDALUSITE, KYANITE AND SILLIMANITE (CALCINED OR NOT); MULLITE; CHAMOTTE OR DINAS EARTHS",404058256,25
"207","FAS Value",2509,"CHALK",1170090,25
"208","FAS Value",2510,"NATURAL CALCIUM PHOSPHATES, NATURAL ALUMINUM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK",1847399,25
"209","FAS Value",2511,"NATURAL BARIUM SULFATE (BARYTES); NATURAL BARIUM CARBONATE (WITHERITE), WHETHER OR NOT CALCINED (OTHER THAN BARIUM OXIDE OF HEADING 2816)",12356665,25
"210","FAS Value",2512,"SILICEOUS FOSSIL MEALS (INCLUDING KIESELGUHR, TRIPOLITE AND DIATOMITE) AND SIMILAR SILICEOUS EARTHS, OF AN APPARENT SPECIFIC GRAVITY OF 1 OR LESS",60321722,25
"211","FAS Value",2513,"PUMICE; EMERY; NATURAL CORUNDUM, NATURAL GARNET AND OTHER NATURAL ABRASIVES, WHETHER OR NOT HEAT-TREATED",24092190,25
"212","FAS Value",2514,"SLATE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING ETC. INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE",866420,25
"213","FAS Value",2515,"MARBLE, TRAVERTINE AND OTHER CALCAREOUS BUILDING ETC. STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5 OR MORE, AND ALABASTER ROUGHLY SHAPED ETC. OR CUT",14253641,25
"214","FAS Value",2516,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER BUILDING ETC. STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT BY SAWING ETC.",23941989,25
"215","FAS Value",2517,"PEBBLES, GRAVEL ETC. USED FOR CONCRETE AGGREGATES ETC.; MACADAM OF SLAG, DROSS ETC.; GRANULES, CHIPPINGS AND POWDER OF MARBLE, ALABASTER, GRANITE ETC.",49079952,25
"216","FAS Value",2518,"DOLOMITE, WHETHER OR NOT CALCINED; DOLOMITE ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE; DOLOMITE RAMMING MIX",14929221,25
"217","FAS Value",2519,"NATURAL MAGNESIUM CARBONATE; FUSED MAGNESIA; DEAD-BURNED (SINTERED) MAGNESIA; OTHER MAGNESIUM OXIDE, WHETHER OR NOT PURE",38706756,25
"218","FAS Value",2520,"GYPSUM; ANHYDRITE; PLASTERS (CONSISTING OF CALCINED GYPSUM OR CALCINED SULFATE)",63072853,25
"219","FAS Value",2521,"LIMESTONE FLUX; LIMESTONE AND OTHER CALCAREOUS STONE, OF A KIND USED FOR THE MANUFACTURE OF LIME OR CEMENT (OR FOR SOIL IMPROVEMENT)",12543405,25
"220","FAS Value",2522,"QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 2825",50993147,25
"221","FAS Value",2523,"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULFATE CEMENT AND SIMILAR HYDRAULIC CEMENTS",193261060,25
"222","FAS Value",2524,"ASBESTOS",49450,25
"223","FAS Value",2525,"MICA, INCLUDING SPLITTINGS; MICA WASTE",8877060,25
"224","FAS Value",2526,"NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE; TALC",109477384,25
"225","FAS Value",2528,"NATURAL BORATES AND CONCENTRATES THEREOF (NOT BORATES SEPARATED FROM NATURAL BRINE); NATURAL BORIC ACID WITH NOT OVER 85% H3B03, BASED ON DRY WEIGHT",2995171,25
"226","FAS Value",2529,"FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR",11006858,25
"227","FAS Value",2530,"MINERAL SUBSTANCES NESOI",138960483,25
"228","FAS Value",2601,"IRON ORES AND CONCENTRATES, INCLUDING ROASTED IRON PYRITES",1060307263,26
"229","FAS Value",2602,"MANGANESE ORES AND CONCENTRATES, INCLUDING FERRUGINOUS MANGANESE ORES AND CONCENTRATES WITH A MANGANESE CONTENT OF 20% OR MORE, BASED ON DRY WEIGHT",1448337,26
"230","FAS Value",2603,"COPPER ORES AND CONCENTRATES",2810621782,26
"231","FAS Value",2604,"NICKEL ORES AND CONCENTRATES",138239179,26
"232","FAS Value",2605,"COBALT ORES AND CONCENTRATES",31752,26
"233","FAS Value",2606,"ALUMINUM ORES AND CONCENTRATES",8212527,26
"234","FAS Value",2607,"LEAD ORES AND CONCENTRATES",897297587,26
"235","FAS Value",2608,"ZINC ORES AND CONCENTRATES",1382628005,26
"236","FAS Value",2609,"TIN ORES AND CONCENTRATES",7733501,26
"237","FAS Value",2610,"CHROMIUM ORES AND CONCENTRATES",5169226,26
"238","FAS Value",2611,"TUNGSTEN ORES AND CONCENTRATES",5160867,26
"239","FAS Value",2613,"MOLYBDENUM ORES AND CONCENTRATES",1262738887,26
"240","FAS Value",2614,"TITANIUM ORES AND CONCENTRATES",16767408,26
"241","FAS Value",2615,"NIOBIUM, TANTALUM, VANADIUM OR ZIRCONIUM ORES AND CONCENTRATES",61338806,26
"242","FAS Value",2616,"PRECIOUS METAL ORES AND CONCENTRATES",365582881,26
"243","FAS Value",2617,"ORES AND CONCENTRATES NESOI",101957319,26
"244","FAS Value",2618,"GRANULATED SLAG (SLAG SAND) FROM IRON OR STEEL MANUFACTURE",7656743,26
"245","FAS Value",2619,"SLAG, DROSS (OTHER THAN GRANULATED SLAG), SCALINGS AND OTHER WASTE FROM THE MANUFACTURE OF IRON OR STEEL",9943051,26
"246","FAS Value",2620,"ASH AND RESIDUES (EXCEPT FROM IRON OR STEEL MANUFACTURE) CONTAINING ARSENIC, METALS OR THEIR COMPOUNDS",242047292,26
"247","FAS Value",2621,"ASH AND SLAG NESOI, INCLUDING SEAWEED ASH (KELP); ASH AND RESIDUES FROM THE INCINERATION OF MUNICIPAL WASTE",23819152,26
"248","FAS Value",2701,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL",14215235275,27
"249","FAS Value",2702,"LIGNITE, WHETHER OR NOT AGGLOMERATED, EXCLUDING JET",6314639,27
"250","FAS Value",2703,"PEAT (INCLUDING PEAT LITTER) WHETHER OR NOT AGGLOMERATED",28843185,27
"251","FAS Value",2704,"COKE AND SEMICOKE OF COAL, OF LIGNITE OR OF PEAT, WHETHER OR NOT AGGLOMERATED; RETORT CARBON",512032630,27
"252","FAS Value",2705,"COAL GAS, WATER GAS, PRODUCER GAS AND SIMILAR GASES, EXCEPT PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS",335241,27
"253","FAS Value",2706,"MINERAL TARS, INCLUDING RECONSTITUTED TARS",78656197,27
"254","FAS Value",2707,"OILS AND OTHER PRODUCTS OF THE DISTILLATION OF HIGH TEMPERATURE COAL TAR; SIMILAR PRODUCTS IN WHICH THE WEIGHT OF AROMATIC CONSTITUENTS PREDOMINATE",929184833,27
"255","FAS Value",2708,"PITCH AND PITCH COKE, OBTAINED FROM COAL TAR OR FROM OTHER MINERAL TARS",22917909,27
"256","FAS Value",2709,"PETROLEUM OILS AND OILS FROM BITUMINOUS MINERALS, CRUDE",118499361483,27
"257","FAS Value",2710,"PETROLEUM OILS& OILS FROM BITUMINOUS MINS (OTHER THAN CRUDE)& PRODUCTS THEREFROM, NESOI, CONTAINING 70% (BY WEIGHT) OR MORE OF THESE OILS; WASTE OILS",117537978921,27
"258","FAS Value",2711,"PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS",62174578609,27
"259","FAS Value",2712,"PETROLEUM JELLY; PARAFFIN WAX, MICROCRYSTALLINE PETROLEUM WAX, SLACK WAX, OTHER MINERAL WAXES, AND SIMILAR PRODUCTS",383159333,27
"260","FAS Value",2713,"PETROLEUM COKE, PETROLEUM BITUMEN AND RESIDUES OF PETROLEUM OILS OR OF OILS OBTAINED FROM BITUMINOUS MINERALS",4734683162,27
"261","FAS Value",2714,"BITUMEN AND ASPHALT, NATURAL; BITUMINOUS OR OIL SHALE AND TAR SANDS; ASPHALTITES AND ASPHALTIC ROCKS",86218584,27
"262","FAS Value",2715,"BITUMINOUS MIXTURES BASED ON NATURAL ASPHALT, NATURAL BITUMEN, PETROLEUM BITUMEN, MINERAL TAR OR MINERAL TAR PITCH",85224921,27
"263","FAS Value",2716,"ELECTRICAL ENERGY",843959692,27
"264","FAS Value",2801,"FLUORINE, CHLORINE, BROMINE AND IODINE",106294330,28
"265","FAS Value",2802,"SULFUR, SUBLIMED OR PRECIPITATED; COLLODIAL SULFUR",2258022,28
"266","FAS Value",2803,"CARBON, NESOI (INCLUDING CARBON BLACK)",377583966,28
"267","FAS Value",2804,"HYDROGEN, RARE GASES AND OTHER NONMETALS",1809319994,28
"268","FAS Value",2805,"ALKALI OR ALKALINE-EARTH METALS; RARE-EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOT INTERMIXED OR INTERALLOYED; MERCURY",65677491,28
"269","FAS Value",2806,"HYDROGEN CHLORIDE (HYDROCHLORIC ACID); CHLOROSULFURIC ACID",27802169,28
"270","FAS Value",2807,"SULFURIC ACID; OLEUM",33291747,28
"271","FAS Value",2808,"NITRIC ACID, SULFONITRIC ACIDS",14955504,28
"272","FAS Value",2809,"DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS",285260647,28
"273","FAS Value",2810,"OXIDES OF BORON; BORIC ACIDS",200292814,28
"274","FAS Value",2811,"INORGANIC ACIDS NESOI AND INORGANIC OXYGEN COMPOUNDS OF NONMETALS NESOI",425129082,28
"275","FAS Value",2812,"HALIDES AND HALIDE OXIDES OF NONMETALS",129807170,28
"276","FAS Value",2813,"SULFIDES OF NONMETALS; COMMERCIAL PHOSPHORUS TRISULFIDE",24846115,28
"277","FAS Value",2814,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION",334806379,28
"278","FAS Value",2815,"SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM",1307243595,28
"279","FAS Value",2816,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES OF STRONTIUM OR BARIUM",18664700,28
"280","FAS Value",2817,"ZINC OXIDE AND ZINC PEROXIDE",121261223,28
"281","FAS Value",2818,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINUM OXIDE; ALUMINUM HYDROXIDE",567379503,28
"282","FAS Value",2820,"MANGANESE OXIDES",21918094,28
"283","FAS Value",2821,"IRON OXIDES AND HYDROXIDES; EARTH COLORS CONTAINING BY WEIGHT 70% OR MORE OF COMBINED IRON EVALUATED AS FE203",49543437,28
"284","FAS Value",2822,"COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES",1369571,28
"285","FAS Value",2823,"TITANIUM OXIDES",38414755,28
"286","FAS Value",2824,"LEAD OXIDES; RED LEAD AND ORANGE LEAD",6834435,28
"287","FAS Value",2825,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; INORGANIC BASES NESOI; METAL OXIDES, HYDROXIDES AND PEROXIDES NESOI",687234651,28
"288","FAS Value",2826,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS",142286860,28
"289","FAS Value",2827,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES",388727216,28
"290","FAS Value",2828,"HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITE; CHLORITES; HYPOBROMITES",56478675,28
"291","FAS Value",2829,"CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES",84483694,28
"292","FAS Value",2830,"SULFIDES; POLYSULFIDES",66306532,28
"293","FAS Value",2831,"DITHIONITES AND SULFOXYLATES",2052538,28
"294","FAS Value",2832,"SULFITES; THIOSULFATES",77891234,28
"295","FAS Value",2833,"SULFATES; ALUMS; PEROXOSULFATES (PERSULFATES)",251313128,28
"296","FAS Value",2834,"NITRITES; NITRATES",41439987,28
"297","FAS Value",2835,"PHOSPHINATES (HYPOPHOSPHITES), PHOSPHONATES (PHOSPHITES), PHOSPHATES AND POLYPHOSPHATES",301108161,28
"298","FAS Value",2836,"CARBONATES; PEROXOCARBONATES (PERCARBONATES); COMMERCIAL AMMONIUM CARBONATE CONTAINING AMMONIUM CARBAMATE",1991705924,28
"299","FAS Value",2837,"CYANIDES, CYANIDE OXIDES AND COMPLEX CYANIDES",259852685,28
"300","FAS Value",2839,"SILICATES; COMMERCIAL ALKALI METAL SILICATES",73142372,28
"301","FAS Value",2840,"BORATES; PEROXOBORATES (PERBORATES)",443339943,28
"302","FAS Value",2841,"SALTS OF OXOMETALLIC OR PEROXOMETALLIC ACIDS",134167171,28
"303","FAS Value",2842,"SALTS OF INORGANIC ACIDS OR PEROXOACIDS, EXCLUDING AZIDES, NESOI",125928851,28
"304","FAS Value",2843,"COLLOIDAL PRECIOUS METALS; INORGANIC OR ORGANIC COMPOUNDS OF PRECIOUS METALS, CHEMICALLY DEFINED OR NOT; AMALGAMS OF PRECIOUS METALS",1076005938,28
"305","FAS Value",2844,"RADIOACTIVE CHEMICAL ELEMENTS AND ISOTOPES AND THEIR COMPOUNDS; MIXTURES AND RESIDUES CONTAINING THESE PRODUCTS",1289115457,28
"306","FAS Value",2845,"STABLE (NONRADIOACTIVE) ISOTOPES; COMPOUNDS, INORGANIC OR ORGANIC, OF SUCH ISOTOPES, WHETHER OR NOT CHEMICALLY DEFINED",304046896,28
"307","FAS Value",2846,"RARE-EARTH METAL COMPOUNDS, INORGANIC OR ORGANIC, OF YTTRIUM OR SCANDIUM OR OF MIXTURES OF THESE METALS",259321793,28
"308","FAS Value",2847,"HYDROGEN PEROXIDE, WHETHER OR NOT SOLIDIFIED WITH UREA",40442288,28
"309","FAS Value",2849,"CARBIDES, WHETHER OR NOT CHEMICALLY DEFINED",77091252,28
"310","FAS Value",2850,"HYDRIDES, NITRIDES, AZIDES, SILICIDES AND BORIDES, WHETHER OR NOT CHEMICALLY DEFINED",215562170,28
"311","FAS Value",2852,"MERCURY COMPOUNDS, INORGANIC OR ORGANIC, WHETHER OR NOT CHEMICALLY DEFINED, EXCLUDING AMALGAMS",1087177,28
"312","FAS Value",2853,"INORGANIC COMPOUNDS NESOI; LIQUID AIR; COMPRESSED AIR; AMALGAMS, OTHER THAN OF PRECIOUS METALS",121375638,28
"313","FAS Value",2901,"ACYCLIC HYDROCARBONS",9203226706,29
"314","FAS Value",2902,"CYCLIC HYDROCARBONS",3200634837,29
"315","FAS Value",2903,"HALOGENATED DERIVATIVES OF HYDROCARBONS",2171448901,29
"316","FAS Value",2904,"SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF HYDROCARBONS, WHETHER OR NOT HALOGENATED",114680898,29
"317","FAS Value",2905,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",4352865566,29
"318","FAS Value",2906,"CYCLIC ALCOHOLS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",168462467,29
"319","FAS Value",2907,"PHENOLS; PHENOL-ALCOHOLS",449820816,29
"320","FAS Value",2908,"HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF PHENOLS OR PHENOL-ALCOHOLS",25832994,29
"321","FAS Value",2909,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ALCOHOL PEROXIDES, KETONE PEROXIDES ETC. AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",3976736699,29
"322","FAS Value",2910,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EPOXYETHERS WITH A THREE-MEMBERED RING, AND HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVE",418744849,29
"323","FAS Value",2911,"ACETALS AND HEMIACETALS, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",6172507,29
"324","FAS Value",2912,"ALDEHYDES; CYCLIC POLYMERS OF ALDEHYDES; PARAFORMALDEHYDE",222337700,29
"325","FAS Value",2913,"HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF ALDEHYDE-FUNCTION COMPOUNDS",141699,29
"326","FAS Value",2914,"KETONES AND QUINONES, AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",370376513,29
"327","FAS Value",2915,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES",1900060527,29
"328","FAS Value",2916,"ACYCLIC (UNSATURATED) AND CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES",890945512,29
"329","FAS Value",2917,"POLYCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",761483800,29
"330","FAS Value",2918,"CARBOXYLIC ACIDS WITH ADDED OXYGEN FUNCTION AND THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED, NITRATED ETC. DERIVATIVES",410506397,29
"331","FAS Value",2919,"PHOSPHORIC ESTERS AND THEIR SALTS, INCLUDING LACTOPHOSPHATES; THEIR HALOGENATED, SULFONATED, NITRATED, OR NITROSATED DERIVATIVES",52359110,29
"332","FAS Value",2920,"ESTERS OF INORGANIC ACIDS OF NON-METALS  (EXCLUDING ESTERS OF HYDROGEN HALIDES) NESOI AND THEIR SALTS; THEIR HALOGENATED, SULFONATED, NITRATED ETC. DE",172831479,29
"333","FAS Value",2921,"AMINE-FUNCTION COMPOUNDS",1301756000,29
"334","FAS Value",2922,"OXYGEN-FUNCTION AMINO-COMPOUNDS",937831805,29
"335","FAS Value",2923,"QUATERNARY AMMONIUM SALTS AND HYDROXIDES; LECITHINS AND OTHER PHOSPHOAMINOLIPIDS",355137329,29
"336","FAS Value",2924,"CARBOXYAMIDE-FUNCTION COMPOUNDS; AMIDE-FUNCTION COMPOUNDS OF CARBONIC ACID",421312280,29
"337","FAS Value",2925,"CARBOXYIMIDE-FUNCTION COMPOUNDS (INCLUDING SACCHARIN AND ITS SALTS) AND IMINE-FUNCTION COMPOUNDS",96350501,29
"338","FAS Value",2926,"NITRILE-FUNCTION COMPOUNDS",423239610,29
"339","FAS Value",2927,"DIAZO-, AZO-, OR AZOXY-COMPOUNDS",12097810,29
"340","FAS Value",2928,"ORGANIC DERIVATIVES OF HYDRAZINE OR HYDROXYLAMINE",63105768,29
"341","FAS Value",2929,"NITROGEN FUNCTION COMPOUNDS NESOI",575097397,29
"342","FAS Value",2930,"ORGANO-SULFUR COMPOUNDS",660508770,29
"343","FAS Value",2931,"ORGANO-INORGANIC COMPOUNDS, NESOI",1508736575,29
"344","FAS Value",2932,"HETEROCYCLIC COMPOUNDS WITH OXYGEN HETERO-ATOM(S) ONLY",595936373,29
"345","FAS Value",2933,"HETEROCYCLIC COMPOUNDS WITH NITROGEN HETERO-ATOM(S) ONLY",2303370656,29
"346","FAS Value",2934,"NUCLEIC ACIDS AND THEIR SALTS, OTHER HETEROCYCLIC COMPOUNDS",1386037303,29
"347","FAS Value",2935,"SULFONAMIDES",207175192,29
"348","FAS Value",2936,"PROVITAMINS AND VITAMINS, NATURAL OR SYNTHETIC, DERIVATIVES THEREOF USED PRIMARILY AS VITAMINS, AND INTERMIXTURES OF THE FOREGOING",1038511699,29
"349","FAS Value",2937,"HORMONES, NATURAL OR SYNTHETIC; DERIVATIVES THEREOF AND OTHER STERIODS USED PRIMARILY AS HORMONES",9962943789,29
"350","FAS Value",2938,"GLYCOSIDES, NATURAL OR SYNTHETIC, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",44195438,29
"351","FAS Value",2939,"VEGETABLE ALKALOIDS, NATURAL OR SYNTHETIC, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",108927077,29
"352","FAS Value",2940,"SUGARS, CHEMICALLY PURE, OTHER THAN SUCROSE, LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE; SUGAR ETHERS AND SUGAR ESTERS, AND THEIR SALTS, NESOI",160272958,29
"353","FAS Value",2941,"ANTIBIOTICS",736480732,29
"354","FAS Value",2942,"ORGANIC COMPOUNDS NESOI",109729505,29
"355","FAS Value",3001,"GLANDS AND OTHER ORGANS, DRIED, AND THEIR EXTRACTS ETC. FOR THERAPEUTIC ETC. USE; HEPARIN AND SALTS; HUMAN ETC. SUBSTANCES FOR THERAPEUTICS ETC. NESOI",763507046,30
"356","FAS Value",3002,"HUMAN AND ANIMAL BLOOD, PREPARED; ANTISERA OTHER BLOOD FRCTNS IMMUNOLOGICAL PROD; VACCINES, TXNS, CULTURES OF MICRO-ORGANISMS (EXC YEASTS) & LIKE PROD",54586966262,30
"357","FAS Value",3003,"MEDICAMENTS (EXCEPT VACCINES ETC., BANDAGES OR PHARMACEUTICALS), CONSISTING OF MIXTURES FOR THERAPEUTIC ETC. USES, NOT IN DOSAGE OR RETAIL SALE FORM",1357906934,30
"358","FAS Value",3004,"MEDICAMENTS (EXCEPT VACCINES ETC., BANDAGES OR PHARMACEUTICALS), OF PRODUCTS (MIXED OR NOT) FOR THERAPEUTIC ETC. USES, IN DOSAGE OR RETAIL SALE FORM",33669352526,30
"359","FAS Value",3005,"BANDAGES AND SIMILAR ARTICLES, IMPREGNATED OR COATED WITH PHARMACEUTICALS OR PUT UP FOR RETAIL SALE FOR MEDICAL, SURGICAL, DENTAL OR VETERINARY USES",1291679183,30
"360","FAS Value",3006,"PHARMACEUTICAL GOODS OF SPECIFIED IN NOTE 4 TO CHAPTER 30",2717501708,30
"361","FAS Value",3101,"ANIMAL OR VEGETABLE FERTILIZERS, INCLUDING MIXED OR CHEMICALLY TREATED; FERTILIZERS MADE BY MIXING OR CHEMICALLY TREATING ANIMAL OR VEGETABLE PRODUCTS",50446181,31
"362","FAS Value",3102,"MINERAL OR CHEMICAL FERTILIZERS, NITROGENOUS",1123626556,31
"363","FAS Value",3103,"MINERAL OR CHEMICAL FERTILIZERS, PHOSPHATIC",15588472,31
"364","FAS Value",3104,"MINERAL OR CHEMICAL FERTILIZERS, POTASSIC",1399995885,31
"365","FAS Value",3105,"MINERAL OR CHEMICAL FERTILIZERS WITH TWO OF THE THREE FERTILIZER ELEMENTS; FERTILIZERS NESOI; FERTILIZERS IN PACKS ETC. NOT OVER 10 KG GROSS WEIGHT",2582657368,31
"366","FAS Value",3201,"TANNING EXTRACTS OF VEGETABLE ORIGIN; TANNINS AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",43835069,32
"367","FAS Value",3202,"SYNTHETIC ORGANIC TANNING SUBSTANCES; INORGANIC TANNING SUBSTANCES; TANNING PREPARATIONS; ENZYMATIC PREPARATIONS FOR PRE-TANNING",12026511,32
"368","FAS Value",3203,"COLORING MATTER OF VEGETABLE OR ANIMAL ORIGIN AND PREPARATIONS BASED THEREON",151203327,32
